Time 			Rate 	Error
664003671.4 2.59808 1.83712
664003672.4 1.28531 1.28531
664003673.4 2.54415 1.79899
664003674.4 2.57280 1.81924
664003675.4 0.00000 0.00000
664003676.4 0.00000 0.00000
664003677.4 1.31654 1.31654
664003678.4 1.27233 1.27233
664003679.4 1.28586 1.28586
664003680.4 0.00000 0.00000
664003681.4 3.90202 2.25284
664003682.4 2.62763 1.85802
664003683.4 0.00000 0.00000
664003684.4 2.53516 1.79263
664003685.4 0.00000 0.00000
664003686.4 2.56084 1.81079
664003687.4 2.56334 1.81256
664003688.4 1.28473 1.28473
664003689.4 1.27493 1.27493
664003690.4 3.88587 2.24351
664003691.4 3.89816 2.25060
664003692.4 1.28921 1.28921
664003693.4 1.30431 1.30431
664003694.4 3.93538 2.27209
664003695.4 0.00000 0.00000
664003696.4 2.52456 1.78513
664003697.4 2.52239 1.78360
664003698.4 0.00000 0.00000
664003699.4 1.31766 1.31766
664003700.4 2.57838 1.82319
664003701.4 0.00000 0.00000
664003702.4 3.47469 2.45697
664003703.4 3.95387 2.28277
664003704.4 0.00000 0.00000
664003705.4 2.55477 1.80650
664003706.4 1.29456 1.29456
664003707.4 5.18464 2.59232
664003708.4 2.56898 1.81654
664003709.4 2.58055 2.58228
664003710.4 2.54279 1.79803
664003711.4 1.25315 1.25315
664003712.4 0.00000 0.00000
664003713.4 2.55209 1.80460
664003714.4 1.28407 1.28407
664003715.4 1.28426 1.28426
664003716.4 2.55498 1.80665
664003717.4 1.29202 1.29202
664003718.4 2.57353 1.81976
664003719.4 1.28885 1.28885
664003720.4 2.60813 1.84422
664003721.4 0.00000 0.00000
664003722.4 0.00000 0.00000
664003723.4 2.59701 1.83636
664003724.4 2.59226 1.83301
664003725.4 2.59508 1.83500
664003726.4 1.30718 1.30718
664003727.4 1.30346 1.30346
664003728.4 1.25946 1.25946
664003729.4 1.28238 1.28238
664003730.4 0.00000 0.00000
664003731.4 1.26975 1.26975
664003732.4 0.00000 0.00000
664003733.4 0.00000 0.00000
664003734.4 2.59367 1.83400
664003735.4 0.00000 0.00000
664003736.4 1.28803 1.28803
664003737.4 5.16501 2.58251
664003738.4 3.79885 2.19327
664003739.4 0.00000 0.00000
664003740.4 3.92666 2.26706
664003741.4 -0.00115511 1.82751
664003742.4 6.44688 2.88313
664003743.4 0.00000 0.00000
664003744.4 1.27352 1.27352
664003745.4 3.80245 2.19535
664003746.4 2.50530 1.77152
664003747.4 2.53190 1.79032
664003748.4 1.27397 1.27397
664003749.4 0.00000 0.00000
664003750.4 2.60119 1.83932
664003751.4 2.55985 1.81009
664003752.4 1.28499 1.28499
664003753.4 1.28890 1.28890
664003754.4 0.00000 0.00000
664003755.4 3.84941 2.22246
664003756.4 4.03404 2.32905
664003757.4 1.31985 1.31985
664003758.4 1.31648 1.31648
664003759.4 3.78824 2.18714
664003760.4 2.56317 1.81244
664003761.4 3.88704 2.24418
664003762.4 -0.00115416 1.82601
664003763.4 0.00000 0.00000
664003764.4 1.30130 1.30130
664003765.4 0.00000 0.00000
664003766.4 0.00000 0.00000
664003767.4 2.58353 1.82683
664003768.4 2.55882 1.80936
664003769.4 1.26531 1.26531
664003770.4 1.27065 1.27065
664003771.4 6.53206 2.92123
664003772.4 1.29829 1.29829
664003773.4 2.58439 1.82744
664003774.4 1.31420 1.31420
664003775.4 2.53527 1.79271
664003776.4 5.11741 2.55871
664003777.4 0.00000 0.00000
664003778.4 3.81204 2.20088
664003779.4 1.27686 1.27686
664003780.4 0.00000 0.00000
664003781.4 3.80014 2.19401
664003782.4 3.85828 2.22758
664003783.4 5.16267 2.58134
664003784.4 3.84930 2.22239
664003785.4 0.00000 0.00000
664003786.4 3.90924 2.25700
664003787.4 3.91968 2.26303
664003788.4 0.00000 0.00000
664003789.4 2.51791 1.78043
664003790.4 2.56413 1.81312
664003791.4 3.98669 2.97292
664003792.4 2.61498 1.84907
664003793.4 3.90613 2.25521
664003794.4 0.00000 0.00000
664003795.4 1.27591 1.27591
664003796.4 1.28509 1.28509
664003797.4 0.00000 0.00000
664003798.4 0.00000 0.00000
664003799.4 0.00000 0.00000
664003800.4 1.27537 1.27537
664003801.4 1.29281 1.29281
664003802.4 0.00000 0.00000
664003803.4 1.66982 1.66982
664003804.4 0.00000 0.00000
664003805.4 2.56838 1.81612
664003806.4 5.37064 2.68532
664003807.4 0.00000 0.00000
664003808.4 0.00000 0.00000
664003809.4 2.55111 1.80391
664003810.4 1.27609 1.27609
664003811.4 1.27604 1.27604
664003812.4 3.99268 2.30518
664003813.4 0.00000 0.00000
664003814.4 2.55777 1.80862
664003815.4 1.29415 2.24421
664003816.4 2.56900 1.81656
664003817.4 1.28291 2.22472
664003818.4 2.56553 1.81411
664003819.4 5.13598 2.56799
664003820.4 1.29926 1.29926
664003821.4 0.00000 0.00000
664003822.4 2.54803 1.80173
664003823.4 3.85761 2.22719
664003824.4 0.00000 0.00000
664003825.4 1.29219 1.29219
664003826.4 5.14950 2.57475
664003827.4 3.79320 2.19001
664003828.4 1.28536 1.28536
664003829.4 2.55566 1.80712
664003830.4 1.26306 1.26306
664003831.4 0.00000 0.00000
664003832.4 0.00000 0.00000
664003833.4 3.87255 2.23582
664003834.4 1.26616 1.26616
664003835.4 2.56571 1.81423
664003836.4 1.29764 1.29764
664003837.4 7.87830 3.21630
664003838.4 3.81870 2.20473
664003839.4 3.83566 2.21452
664003840.4 0.00000 0.00000
664003841.4 2.62239 1.85431
664003842.4 1.31821 1.31821
664003843.4 2.58570 1.82836
664003844.4 2.57335 1.81963
664003845.4 0.00000 0.00000
664003846.4 3.88857 2.24507
664003847.4 -1.30805 1.30805
664003848.4 2.60519 1.84215
664003849.4 0.00000 0.00000
664003850.4 5.07186 2.53593
664003851.4 1.26980 1.26980
664003852.4 2.51896 1.78117
664003853.4 0.00000 0.00000
664003854.4 1.28526 1.28526
664003855.4 0.00000 0.00000
664003856.4 1.32893 1.32893
664003857.4 3.86676 2.23248
664003858.4 1.29483 1.29483
664003859.4 1.29159 1.29159
664003860.4 1.28990 1.28990
664003861.4 0.00000 0.00000
664003862.4 0.00000 0.00000
664003863.4 0.00000 0.00000
664003864.4 3.89359 2.24797
664003865.4 2.60830 1.84435
664003866.4 1.32212 1.32212
664003867.4 2.60259 1.84031
664003868.4 1.26834 1.26834
664003869.4 1.27193 1.27193
664003870.4 0.00000 0.00000
664003871.4 1.25265 1.25265
664003872.4 1.29379 1.29379
664003873.4 3.89998 2.25166
664003874.4 5.30662 2.65331
664003875.4 1.30692 2.26636
664003876.4 3.86692 2.23257
664003877.4 2.59125 1.83229
664003878.4 0.00000 0.00000
664003879.4 0.00000 0.00000
664003880.4 3.85783 2.22732
664003881.4 1.30875 1.30875
664003882.4 0.00000 0.00000
664003883.4 1.29727 1.29727
664003884.4 1.28555 1.28555
664003885.4 2.59246 1.83315
664003886.4 2.57790 1.82285
664003887.4 0.00000 0.00000
664003888.4 0.00000 0.00000
664003889.4 3.85986 2.22849
664003890.4 2.53336 1.79135
664003891.4 5.07461 2.92983
664003892.4 3.00940 2.12797
664003893.4 1.29689 1.29689
664003894.4 3.92647 2.26695
664003895.4 5.15648 2.57824
664003896.4 1.29866 1.29866
664003897.4 5.18560 2.59280
664003898.4 -1.27769 1.27769
664003899.4 1.28437 1.28437
664003900.4 3.80278 2.19553
664003901.4 1.28056 1.28056
664003902.4 1.31788 1.31788
664003903.4 2.58616 1.82869
664003904.4 1.29722 1.29722
664003905.4 5.11742 2.55871
664003906.4 2.53633 2.53803
664003907.4 5.18805 2.59402
664003908.4 5.19659 2.59830
664003909.4 1.27535 1.27535
664003910.4 1.29469 1.29469
664003911.4 5.15660 2.57830
664003912.4 2.59709 1.83642
664003913.4 0.00000 0.00000
664003914.4 2.51265 1.77671
664003915.4 1.28423 1.28423
664003916.4 1.27946 1.27946
664003917.4 1.28630 1.28630
664003918.4 0.00000 0.00000
664003919.4 0.00000 0.00000
664003920.4 -1.28709 1.28709
664003921.4 2.54674 1.80082
664003922.4 0.00000 0.00000
664003923.4 2.62947 1.85931
664003924.4 2.60561 1.84245
664003925.4 3.86582 2.23193
664003926.4 2.59430 1.83444
664003927.4 0.00000 0.00000
664003928.4 6.34186 2.83616
664003929.4 2.58897 1.83068
664003930.4 2.56869 1.81634
664003931.4 2.57015 1.81737
664003932.4 2.69396 1.90492
664003933.4 6.64214 2.97046
664003934.4 3.99022 2.30376
664003935.4 1.28638 1.28638
664003936.4 2.53385 1.79170
664003937.4 3.80932 2.19931
664003938.4 1.27169 1.27169
664003939.4 1.27479 1.27479
664003940.4 2.62822 1.85844
664003941.4 1.74712 1.74712
664003942.4 1.39917 1.39917
664003943.4 1.28543 1.28543
664003944.4 2.55080 1.80369
664003945.4 2.59449 1.83458
664003946.4 1.30544 1.30544
664003947.4 2.61255 1.84735
664003948.4 2.60792 1.84408
664003949.4 0.00000 0.00000
664003950.4 3.86018 2.22868
664003951.4 3.91130 2.25819
664003952.4 1.28118 1.28118
664003953.4 0.00000 0.00000
664003954.4 2.55369 1.80573
664003955.4 1.26708 1.26708
664003956.4 5.12657 2.56328
664003957.4 1.27583 1.27583
664003958.4 1.28196 2.22307
664003959.4 3.90284 2.25331
664003960.4 1.27720 1.27720
664003961.4 5.15308 2.57654
664003962.4 5.15497 2.57749
664003963.4 1.27236 1.27236
664003964.4 1.28191 1.28191
664003965.4 3.85921 2.22812
664003966.4 2.58955 1.83109
664003967.4 1.28167 1.28167
664003968.4 1.27336 1.27336
664003969.4 2.65720 1.87893
664003970.4 1.29555 1.29555
664003971.4 6.34941 2.83954
664003972.4 0.00000 0.00000
664003973.4 2.60044 1.83879
664003974.4 1.27847 1.27847
664003975.4 0.00000 0.00000
664003976.4 3.85040 2.22303
664003977.4 2.56554 2.56726
664003978.4 5.17391 2.58696
664003979.4 3.84672 2.22090
664003980.4 3.85253 2.22426
664003981.4 0.00000 0.00000
664003982.4 0.00000 0.00000
664003983.4 2.58605 1.82861
